city,iso,lat_benchmark,lon_benchmark,ucdb_id,source_city,source_iso,iso_rph,iso_ind,city_state_overrided,pop_total_LS,ntl_mean,EQ_raw,EQ_w,FL_raw,FL_w,TC_raw,TC_w,DR_raw,DR_w,LS_EQ_raw,LS_EQ_w,LS_rain_raw,LS_rain_w,LS_w,ts_raw,ts_distance_deg,ts_w,ts_coordinate_missing,hazard_composite_6haz,n_country_cities,denom_src,hazard_ref,pop_ref,ntl_ref,H,pop_ratio,ntl_ratio,E,R_Ph_national,R_Ph_national_effective,national_risk_override
Chongqing,CHN,29.5669230000,106.5930360000,8557,Chongqing,CHN,CHN,CHN,0,30896622.0000000000,1.1053465391,72.0430388411,0.0648774931,131.1069709786,0.0954946547,0.0000000000,0.0000000000,5.1883577735,0.1345952819,1.6217976763,0.3287784629,1.5864323562,0.3145959526,0.3287784629,0.0000000000,8.0985480718,0.0000000000,0,0.1039576488,393,CHN,0.1326051024,4833482.6208651401,1.9618185545,0.7839641679,6.3922071151,0.5634295468,2.4195040319,0.5509128958,0.5509128958,
Osaka,JPN,34.7519810000,135.4581990000,4399,Osaka,JPN,JPN,JPN,0,592498.0000000000,36.3135799731,159.5480736559,0.3181948476,94.7307322288,0.0498550646,237.0091594408,0.9118256446,4.9408016030,0.1220576024,1.0000000000,0.1250000000,1.0000000000,0.1250000000,0.1250000000,14.3302000000,0.0706292869,0.9960121596,0,0.4204908865,77,JPN,0.3171880150,920959.2207792208,5.4146144756,1.3256834010,0.6433487896,6.7065864314,1.6431170543,0.7228255220,0.7228255220,
Seoul,KOR,37.5682950000,126.9977850000,348,Seoul,KOR,KOR,KOR,0,251803.0000000000,95.5508120893,0.0000000000,0.0000000000,0.0000000000,0.0000000000,180.9815063477,0.6852132926,5.7500000000,0.1653125000,1.0659875250,0.1420411754,1.0688415628,0.1428027858,0.1428027858,1.1184000000,0.4204237824,0.0111183872,0,0.1674078276,28,KOR,0.1796170293,486165.6071428572,23.0765650309,0.9320264803,0.5179366790,4.1405994333,1.1895735195,0.9640103318,0.9640103318,
Kuala Lumpur,MYS,3.1686120000,101.6980370000,1648,Kuala Lumpur,MYS,MYS,MYS,0,2922141.0000000000,64.2999561408,0.0000000000,0.0000000000,15.6559394477,0.0013617136,0.0000000000,0.0000000000,5.6718891333,0.1608516317,1.0105950455,0.1276627933,1.0191951564,0.1298448459,0.1298448459,0.0000000000,1.7305286437,0.0000000000,0,0.0486763652,32,MYS,0.0606835989,579701.6875000000,9.6280991546,0.8021337897,5.0407667651,6.6783645565,5.6411287369,1.0000000000,1.0000000000,
Manila,PHL,14.6061050000,120.9802710000,2323,Manila,PHL,PHL,PHL,0,2220416.0000000000,45.3603637143,129.0512563739,0.2081778346,0.0000000000,0.0000000000,237.5398367363,0.9133050668,6.5000000000,0.2112500000,1.0000000000,0.1250000000,1.0000000000,0.1250000000,0.1250000000,4.6800000000,0.0176743060,0.1946880000,0,0.2754034836,39,PHL,0.2832094590,553429.7435897436,5.0151532344,0.9724374481,4.0121009500,9.0446615675,5.5536696070,0.9999999999,0.9999999999,
Bangkok,THA,13.7519450000,100.5146990000,2315,Bangkok,THA,THA,THA,0,117202.0000000000,66.8314421177,0.0000000000,0.0000000000,17.3182855805,0.0016662390,82.2802276611,0.1504452414,0.0000000000,0.0000000000,1.0000000000,0.1250000000,1.0000000000,0.1250000000,0.1250000000,0.0900000000,0.2426487033,0.0000720000,0,0.0461972467,79,THA,0.0775524748,204312.8860759494,5.1772082538,0.5956901682,0.5736397848,12.9087799528,1.9931392317,1.0000000000,1.0000000000,
Ho Chi Minh City,VNM,10.7819710000,106.6930810000,5239,Ho Chi Minh City,VNM,VNM,VNM,0,696550.0000000000,43.1257080078,0.0000000000,0.0000000000,0.0000000000,0.0000000000,146.4751280252,0.4767769584,6.1278244473,0.1877511623,1.0000000000,0.1250000000,1.0000000000,0.1250000000,0.1250000000,1.2500000000,0.3318134429,0.0138888889,0,0.1339028349,72,VNM,0.1727509599,413433.9861111111,6.5889061175,0.7751206421,1.6847913413,6.5451999526,2.8993246008,0.9999999999,0.9999999999,
Dubai,ARE,25.2319420000,55.2780290000,1007,Dubai,ARE,ARE,ARE,0,1258253.0000000000,108.6421835525,62.6513718012,0.0490649299,0.4925247307,0.0000013477,0.0000000000,0.0000000000,5.9179308070,0.1751095252,0.9980444883,0.1245116001,0.9980444883,0.1245116001,0.1245116001,0.0000000000,0.9981522747,0.0000000000,0,0.0581145671,8,ARE,0.0600648148,613603.8750000000,48.8294258532,0.9675309468,2.0505949380,2.2249326437,2.1186278443,0.2084464460,0.2084464460,
Delhi,IND,28.6719390000,77.2280580000,7963,Delhi,IND,IND,IND,0,19978009.0000000000,27.4134876062,52.1860059535,0.0340422402,100.6384813852,0.0562672441,0.0000000000,0.0000000000,4.7164417913,0.1112241159,1.0000000000,0.1250000000,1.0000000000,0.1250000000,0.1250000000,0.0000000000,9.0795291353,0.0000000000,0,0.0544222667,213,IND,0.0897148962,3620167.8873239434,3.0993320984,0.6066134946,5.5185310797,8.8449661851,6.6645766384,1.0000000000,1.0000000000,
Kolkata,IND,22.4969150000,88.3227300000,11352,Kolkata,IND,IND,IND,0,9664222.0000000000,2.4022930633,0.0000000000,0.0000000000,51.0435587980,0.0144746939,142.8788182368,0.4536523711,5.2859084854,0.1397041426,1.0000000000,0.1250000000,1.0000000000,0.1250000000,0.1250000000,5.2426000000,0.3997922055,0.2443098201,0,0.1628568379,213,IND,0.0897148962,3620167.8873239434,3.0993320984,1.8152708732,2.6695507780,0.7751002432,1.6278188037,1.0000000000,1.0000000000,
